tokens;n;value
justice;105634;2
abuse;99294;-3
sick;87230;-2
tired;75473;-2
pain;62321;-2
crisis;50668;-3
ban;47476;-2
outrage;47476;-3
racism;42800;-3
violence;41502;-3
support;34577;2
protests;32299;-2
protect;29690;1
ensure;25772;1
peaceful;23451;2
active;23110;1
threatens;22540;-2
cut;21962;-1
riots;19980;-2
worst;17646;-3
kill;17434;-3
murder;17353;-2
leave;15944;-1
lost;15637;-3
restore;15466;1
undermines;15068;-2
safety;11937;1
criminals;11786;-3
peace;11786;2
dead;11321;-3
hurt;11203;-2
reckless;10794;-2
violent;9607;-3
promoting;9189;1
criminal;9157;-3
emergency;9127;-2
destroyed;8245;-3
safe;7834;1
strong;7749;2
stop;7679;-1
opportunity;7108;2
harm;6929;-2
hell;6929;-4
attack;6925;-1
victims;6843;-3
killing;6638;-3
insane;6215;-2
care;6022;2
threats;5457;-2
anxious;5444;-2
calm;5444;2
upset;5444;-2
commitment;5360;2
advantage;5312;2
risk;5271;-2
bailout;5115;-2
angry;5076;-3
cries;4967;-2
anger;4952;-3
hurting;4812;-2
charges;4678;-2
outraged;4678;-3
protected;4571;1
anti;4408;-1
forced;4364;-1
badly;4331;-3
matter;4331;1
wealthy;4331;2
cowardly;4324;-2
ignore;4324;-1
engage;4163;1
punish;4163;-2
blaming;4069;-2
grieved;4041;-2
war;3963;-2
pay;3926;-1
hate;3911;-3
hope;3804;2
growing;3581;1
fit;3558;1
solutions;3547;1
proud;3393;2
united;3303;1
hunger;2957;-2
agree;2930;1
illegal;2872;-3
stalling;2864;-2
death;2792;-2
loved;2777;3
true;2765;2
lawsuits;2758;-2
legal;2744;1
carefully;2645;2
horrified;2448;-3
swift;2396;2
attacks;2349;-1
responsible;2304;2
freedom;2260;2
lucky;2195;3
chance;2187;2
loss;2184;-3
brave;2176;2
lied;2168;-2
benefits;2111;2
threat;2077;-2
trust;2076;1
danger;2056;-2
grave;2056;-2
injustice;2032;-2
abandon;2027;-2
damage;2027;-3
provoke;1901;-1
failed;1884;-2
dedicated;1828;2
aggressive;1816;-2
disaster;1808;-2
positive;1754;2
peacefully;1725;2
demand;1715;-1
protesting;1656;-2
solution;1645;1
disturbing;1608;-2
stopped;1595;-1
attacked;1581;-1
protesters;1568;-2
secure;1562;2
misinformation;1490;-2
unjust;1471;-2
ability;1421;2
vulnerable;1364;-2
desperately;1361;-3
steal;1361;-2
significant;1345;1
nice;1282;3
propaganda;1282;-2
save;1241;2
join;1030;1
suspicious;995;-2
grief;964;-2
tragic;962;-2
fraudulent;957;-4
honor;876;2
prevent;854;-1
poor;836;-2
limited;797;-1
prison;797;-2
fight;796;-1
refused;774;-2
unbelievable;774;-1
safely;747;1
stronger;730;2
struggle;725;-2
cutting;723;-1
free;710;1
defeated;678;-2
feeling;663;1
meaningful;660;2
frustration;620;-2
mourning;613;-2
detention;595;-2
focused;590;2
disdain;561;-2
mourn;553;-2
encourage;524;2
wrong;484;-2
sadly;461;-2
stopping;448;-1
cruel;432;-3
forget;427;-1
celebrate;407;3
await;399;-1
alarmed;384;-2
looming;384;-1
debt;379;-2
undermining;377;-2
eviction;375;-1
intimidates;370;-2
urgent;370;-1
missed;365;-2
demanding;362;-1
committed;356;1
praying;354;1
helping;351;2
infected;346;-2
thoughtful;346;2
stable;343;2
grateful;328;3
destruction;327;-3
suffering;327;-2
failure;314;-2
glad;296;3
guarantee;295;1
died;292;-3
exposed;285;-1
pray;281;1
strengthen;269;2
unacceptable;269;-2
lawsuit;264;-2
hard;260;-1
awaits;237;-1
suffer;233;-2
authority;222;1
inadequate;213;-2
healthy;211;2
faith;209;1
warning;193;-3
rescue;192;2
negative;184;-2
prepared;180;1
effective;170;2
extend;170;1
clean;167;2
importance;167;2
prosecuted;166;-2
lazy;165;-1
cares;161;2
questionable;155;-2
grace;153;1
increase;153;1
strength;153;2
heroes;152;2
broken;151;-1
drown;151;-2
riot;151;-2
smart;151;1
doubt;146;-1
shameful;144;-2
expand;142;1
questioned;142;-1
awarded;141;3
killed;137;-3
robust;137;2
polluters;129;-2
die;127;-3
grand;126;3
commit;124;1
struggling;124;-2
blind;120;-1
combat;119;-1
shortages;118;-2
supports;117;2
evil;116;-3
shocking;116;-2
eager;113;2
friendly;113;2
reach;107;1
vulnerability;107;-2
saved;104;2
embrace;103;1
fair;103;2
frustrated;103;-2
saddened;102;-2
blocked;97;-1
enjoy;97;2
battle;88;-1
bullying;88;-2
undermine;88;-2
worse;86;-3
threaten;76;-2
comprehensive;71;2
legally;67;1
unemployment;61;-2
careful;60;2
demanded;59;-1
share;57;1
difficult;54;-1
excited;54;3
irresponsible;53;2
lack;52;-2
burden;51;-2
ease;51;2
inspiring;48;3
abusive;45;-3
admit;45;-1
fear;45;-2
supporting;45;1
charged;43;-3
condemn;43;-2
failing;43;-2
outcry;43;-2
drop;41;-1
asset;40;2
love;40;3
bold;39;2
cheated;39;-3
cuts;39;-1
deny;39;-2
critics;36;-2
ill;36;-2
silencing;36;-1
affected;35;-1
growth;34;2
opportunities;34;2
benefit;31;2
boost;29;1
ensuring;29;1
isolated;29;-1
promise;26;1
honored;23;2
pleased;23;3
wonderful;23;4
devastating;20;-2
encouraged;20;2
god;20;1
alarm;18;-2
happy;17;3
impressive;17;3
dump;15;-1
creative;12;2
adequate;11;1
destructive;11;-3
disasters;11;-2
grant;11;1
thankful;10;2
threatening;10;-2
inspire;8;2
challenge;6;-1
shortage;6;-2
demonstration;5;-1
effectively;5;2
helps;5;2
wishes;3;1
wishing;3;1
responsive;2;2
accomplish;0;2
avoid;0;-1
broke;0;-1
committing;0;1
confident;0;2
congrats;0;2
fallen;0;-2
grants;0;1
huge;0;1
illnesses;0;-2
improve;0;2
limits;0;-1
optimism;0;2
progress;0;2
promote;0;1
protest;0;-2
reached;0;1
retreat;0;-1
shared;0;1
solve;0;1
unconfirmed;0;-1
welcomed;0;2
